t_unix,bottle_x,bottle_y,bottle_z,t_proc
1768136021.2300503,4.37322803515784,6.218938414602409,33.25602962492713,1.0903530299997328
1768136022.1045742,4.37322803515784,6.218938414602409,33.25602962492713,0.8743681010000728
1768136022.9713173,4.290096708794681,6.218938414602409,33.2668558792488,0.8665979370002788
1768136023.8372111,4.37322803515784,6.218938414602409,33.25602962492713,0.8657911899999817
1768136024.705315,4.37322803515784,6.218938414602409,33.25602962492713,0.868000660999769
1768136025.5604193,4.37322803515784,6.218938414602409,33.25602962492713,0.85500115800005
1768136026.4245532,4.327401897566808,6.273016139946778,33.556132886894446,0.8640300309998565
1768136027.2908275,4.37322803515784,6.218938414602409,33.25602962492713,0.8661314670002866
1768136028.174313,4.37322803515784,6.218938414602409,33.25602962492713,0.8833721010000772
1768136029.0536335,4.327401897566808,6.273016139946778,33.556132886894446,0.879207162000057
